mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2494.595,32.692,0.381,8865.165,884.865,2549.821,402.557,31.883,4.615,1.253,0.59,0.749,0.475,7.412,12,1.885,3.2,-1.631
2421.774,32.668,0.372,7077.952,1041.018,2537.113,415.777,39.295,3.961,0.978,0.287,0.756,0.301,7.865,9,1.56,3.2,-1.633
2336.041,33.345,0.387,8621.027,895.997,2554.193,449.804,48.649,3.024,1.142,0.36,0.878,0.244,7.717,11,1.603,3.2,-1.593
2274.503,29.001,0.326,9162.441,895.561,2584.539,447.862,41.543,4.863,1.203,0.417,0.878,0.216,9.718,9,1.163,2.6,-2.031
2442.296,30.426,0.347,9164.305,806.96,2683.137,538.72,42.996,4.317,1.031,0.405,0.695,0.197,8.906,7,1.349,2.8,-1.843
2221.139,33.295,0.389,6987.5,749.065,2562.331,450.267,32.795,3.251,1.276,0.27,0.815,0.325,7.87,10,1.762,3,-1.687
2444.764,33.888,0.382,8100.616,921.656,2671.096,492.616,47.452,2.888,0.985,0.455,0.747,0.278,8.011,11,1.465,3,-1.642
2459.712,28.63,0.383,6427.775,786.33,2513.856,510.062,39.177,3.05,1.453,0.365,0.858,0.453,7.651,10,1.643,3.2,-1.51
2474.741,32.726,0.378,8896.069,665.492,2615.877,474.578,46.57,3.59,0.742,0.359,0.711,0.258,7.805,12,1.553,3,-1.546
2438.016,32.835,0.364,9869.492,847.816,2813.295,541.843,38.801,3.053,0.858,0.411,0.868,0.237,8.348,10,1.782,2.8,-2.068
2480.949,47.366,0.38,9530.429,871.907,2536.13,549.984,39.406,2.221,0.743,0.408,0.927,0.579,6.79,10,2.317,3.6,-1.56
2430.747,46.738,0.373,10234.763,732.621,2572.108,499.263,44.023,3.086,0.813,0.369,0.777,0.558,7.47,10,1.854,3,-1.634
2496.9,31.146,0.346,6228.084,800.255,2562.264,450.436,36.07,3.426,0.87,0.356,0.751,0.25,8.304,8,1.467,2.8,-1.671
2458.052,40.057,0.37,9249.237,945.635,2543.895,477.283,43.997,3.614,0.775,0.509,0.797,0.335,7.587,11,1.71,3.2,-1.642
2481.583,40.48,0.387,8344.378,927.018,2505.246,446.799,39.713,2.625,0.414,0.281,0.697,0.586,6.724,10,2.107,3.6,-1.462
2449.645,32.71,0.36,11630.051,863.038,2500.743,547.034,45.094,3.469,0.663,0.406,0.792,0.401,7.71,10,1.781,3,-1.72
2367.173,37.727,0.375,7439.507,808.838,2599.474,465.682,35.023,3.154,1.113,0.48,0.79,0.258,8.136,10,1.582,2.8,-1.61
2390.492,55.022,0.354,9587.41,618.022,2591.378,426.649,40.888,2.644,0.584,0.394,0.793,0.834,7.979,9,1.614,2.8,-1.558
2438.593,37.711,0.387,12244.536,973.321,2524.926,485.778,48.634,4.428,0.933,0.408,0.738,0.475,7.02,11,2.223,3.4,-1.653
2465.664,53.252,0.389,7051.274,946.782,2753.148,447.124,40.087,3.945,1.184,0.231,0.785,0.775,8,8,1.244,2.8,-1.522
2261.275,25.65,0.389,8406.83,786.296,2552.502,445.423,39.936,3.513,1.048,0.565,0.816,0.412,8.083,9,1.52,2.8,-1.633
2177.134,31.126,0.38,7928.465,748.056,2714.31,425.446,39.209,3.957,1.157,0.437,0.765,0.157,8.814,9,1.493,2.6,-1.825
2442.247,35.511,0.385,7081.354,860.876,2649.129,516.973,35.044,3.86,0.943,0.394,0.932,0.184,8.146,11,1.335,3,-1.644
2293.595,25.739,0.305,7186.93,745.457,3061.331,434.124,44.641,4.576,1.151,0.349,0.868,0.151,10.248,12,0.754,2.2,-2.037
2303.128,23.574,0.366,9314.943,794.649,2504.83,440.658,43.598,3.893,0.872,0.336,0.902,0.214,8.631,10,1.423,2.8,-1.798
2297.542,35.367,0.349,7817.564,907.44,2520.664,453.398,37.646,3.285,1.022,0.469,0.772,0.179,8.761,10,1.316,2.8,-1.716
