mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2497.678,56.347,0.389,8271.981,807.314,2502.132,450.122,39.618,4.001,0.954,0.358,0.818,0.878,5.578,5,2.993,3.8,-1.32
2497.168,52.71,0.389,8253.154,803.292,2514.009,544.974,41.887,4.004,0.999,0.397,0.804,0.757,5.65,6,2.781,4,-1.31
2494.141,51.296,0.389,8356.855,804.29,2505.751,541.04,40.145,4.004,0.997,0.397,0.818,0.71,6.074,5,2.303,3.6,-1.298
2485.722,34.473,0.389,8735.583,802.22,2506.106,450.192,39.655,4.064,0.954,0.397,0.822,0.173,6.424,5,2.853,3.6,-1.711
2457.793,29.446,0.389,8346.517,802.252,2514.905,447.52,39.961,4.123,0.985,0.381,0.793,0.162,7.15,4,2.198,3.4,-1.636
2497.678,54.502,0.389,8271.981,803.481,2502.132,450.122,39.631,4.001,0.954,0.358,0.818,0.817,5.946,5,2.538,3.8,-1.318
2266.938,28.272,0.388,8368.221,806.265,2724.734,452.498,38.742,4.001,0.998,0.422,0.822,0.109,8.351,5,1.611,2.8,-1.832
2305.329,33.319,0.39,8265.927,806.582,2641.202,511.39,39.655,4.076,0.99,0.381,0.822,0.136,8.159,5,1.504,2.8,-1.564
2499.098,54.134,0.389,8298.473,807.75,2502.665,447.668,39.654,4.004,0.954,0.395,0.818,0.804,6.324,4,2.284,3.6,-1.312
2262.938,28.636,0.38,8272.243,805.969,2756.529,450.375,39.666,4.079,0.997,0.424,0.822,0.086,8.471,3,1.646,2.8,-1.988
2342.801,33.14,0.378,8687.8,807.287,2771.54,454.742,39.627,4.079,0.998,0.425,0.816,0.105,5.763,6,3.73,3.6,-1.682
2311.367,29.381,0.389,8356.698,804.29,2520.081,449.033,40.15,4.082,0.997,0.397,0.822,0.16,7.743,3,1.781,3,-1.649
2498.332,54.881,0.39,8932.909,925.501,2518.831,452.287,38.997,3.901,0.854,0.41,0.654,0.829,5.442,8,2.993,4,-1.312
2419.889,32.426,0.39,8744.019,901.9,2579.746,442.72,40.023,3.868,0.984,0.41,0.687,0.141,7.409,9,2.155,3.2,-1.678
2498.769,31.389,0.39,8279.907,899.298,2503.096,450.076,40.023,4.099,0.987,0.41,0.718,0.179,6.794,5,2.643,3.6,-1.676
2410.597,31.39,0.39,8810.732,899.145,2580.644,454.511,39.995,4.103,0.988,0.41,0.723,0.14,7.515,7,1.851,3.2,-1.62
2413.569,31.39,0.39,7625.428,899.145,2580.644,450.298,39.995,4.102,0.988,0.383,0.723,0.14,7.857,6,1.595,3,-1.55
2499.035,50.421,0.39,7592.703,918.026,2515.136,450.071,39.114,4.065,0.987,0.383,0.688,0.681,5.968,7,2.428,3.8,-1.302
2499.282,53.895,0.39,9825.743,911.103,2518.807,498.156,32.25,3.997,0.987,0.41,0.686,0.797,5.895,9,2.559,3.8,-1.245
2498.765,44.795,0.39,8279.907,898.698,2502.787,450.076,40.023,4.097,0.987,0.41,0.718,0.493,6.505,6,2.082,3.6,-1.395
2499.388,32.44,0.39,10467.389,901.627,2514.465,450.02,39.096,4.097,0.974,0.41,0.687,0.261,6.662,7,2.652,3.6,-1.673
2498.073,31.342,0.389,8291.405,748.44,2503.051,450.062,39.742,4.095,0.989,0.411,0.723,0.178,6.856,5,2.4,3.6,-1.624
2499.446,40.997,0.39,7592.703,918.026,2502.211,456.618,39.097,4.065,0.987,0.381,0.715,0.367,6.505,8,2.259,3.6,-1.4
2478.508,32.946,0.388,9407.052,925.372,2532.961,450.072,39.995,4.099,1.059,0.411,0.714,0.169,6.856,8,2.62,3.4,-1.689
