max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4796.301,0.187,1.732,0.34,0.39,10.004,2660.87,0.375,3.078,0.252,35.251,1260.684,0.25,1.857,9.0,0.674,1.55,4.35
6944.028,0.148,2.112,0.396,0.518,9.167,2626.961,0.309,3.612,0.298,35.067,1518.907,0.197,2.651,8.0,0.42,1.15,5.231
5382.108,0.152,2.03,0.275,0.48,8.306,2458.722,0.309,3.475,0.21,34.294,1305.601,0.214,2.727,7.0,0.405,1.2,5.228
4365.191,0.185,2.682,0.239,0.598,8.77,2511.683,0.23,1.461,0.255,33.258,1509.004,0.583,1.314,11.0,0.889,1.6,4.634
5623.746,0.106,1.071,0.3,0.395,11.227,2163.635,0.22,1.262,0.271,32.333,1224.149,0.639,1.106,12.0,1.068,1.65,4.704
4845.589,0.117,1.249,0.318,0.363,11.506,2560.656,0.252,2.601,0.261,33.893,1263.07,0.375,1.529,12.0,0.848,1.65,4.226
5222.769,0.116,2.335,0.379,0.509,10.727,2476.06,0.293,3.009,0.258,33.709,1219.209,0.227,2.156,10.0,0.541,1.4,4.518
4442.885,0.142,2.99,0.35,0.515,8.984,2372.887,0.292,1.203,0.256,35.645,1373.045,0.656,2.679,7.0,0.393,1.2,4.912
6361.845,0.121,1.965,0.361,0.483,8.833,2111.567,0.268,2.853,0.292,35.508,1256.209,0.193,2.988,8.0,0.348,1.2,5.459
5266.344,0.109,2.683,0.258,0.574,11.222,2633.36,0.473,1.118,0.239,32.144,1230.597,0.681,0.34,12.0,1.556,2.05,3.798
6196.256,0.143,2.039,0.264,0.445,10.067,2408.675,0.497,1.625,0.257,36.738,1311.715,0.657,2.328,7.0,0.539,1.35,4.791
5620.811,0.132,1.331,0.359,0.589,10.558,2643.254,0.235,2.669,0.225,32.541,1336.04,0.335,1.705,11.0,0.739,1.6,4.446
6198.57,0.143,2.264,0.38,0.469,9.08,2460.727,0.32,3.153,0.263,32.935,1286.959,0.142,2.265,10.0,0.542,1.35,5.016
4567.651,0.187,1.932,0.309,0.521,11.66,2325.428,0.325,3.705,0.254,32.259,1332.604,0.247,2.25,9.0,0.52,1.4,4.902
6666.699,0.17,2.023,0.295,0.531,11.328,2335.897,0.303,3.223,0.253,36.878,1290.283,0.157,3.011,9.0,0.33,1.15,5.273
4362.629,0.15,2.485,0.363,0.376,9.97,2694.48,0.361,3.754,0.256,35.211,1515.203,0.248,2.373,8.0,0.495,1.35,5.142
4896.219,0.172,2.228,0.367,0.52,9.504,2223.561,0.288,3.609,0.261,33.65,1475.43,0.156,3.103,9.0,0.334,1.0,6.24
6257.178,0.144,1.956,0.36,0.485,10.027,2096.022,0.24,3.895,0.232,33.222,1441.99,0.2,3.056,7.0,0.33,1.15,5.783
5263.926,0.154,2.262,0.28,0.563,8.638,2688.557,0.322,3.563,0.268,33.089,1643.797,0.2,2.253,9.0,0.522,1.3,4.736
6702.978,0.148,1.54,0.267,0.469,9.731,2595.968,0.226,3.457,0.285,34.826,1213.02,0.247,1.954,10.0,0.663,1.55,4.644
