max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5790.447,0.157,2.121,0.364,0.593,8.205,2698.928,0.254,3.229,0.251,31.715,1218.802,0.187,1.152,8,0.99,1.75
5956.869,0.143,2.117,0.352,0.594,10.02,2547.123,0.295,1.286,0.255,31.866,1218.359,0.633,0.237,7,1.703,2.15
5812.71,0.157,2.063,0.335,0.59,9.865,2606.671,0.304,1.698,0.246,31.7,1231.093,0.515,1.345,5,0.909,1.65
5786.017,0.157,1.993,0.348,0.507,9.865,2699.983,0.281,3.553,0.25,32.08,1359.079,0.123,2.249,3,0.507,1.35
5791.484,0.149,2.064,0.347,0.578,9.821,2607.065,0.31,3.458,0.255,31.703,1285.446,0.156,1.722,5,0.715,1.55
5779.168,0.144,2.171,0.357,0.51,10.149,2569.593,0.303,3.472,0.249,34.335,1618.874,0.085,2.676,4,0.425,1.2
5824.494,0.157,2.113,0.347,0.59,10.133,2618.959,0.295,1.325,0.253,31.721,1330.128,0.621,0.266,6,1.651,2.1
5806.611,0.156,2.063,0.354,0.51,9.861,2607.166,0.294,1.461,0.254,31.716,1228.591,0.583,1.271,4,0.942,1.7
5806.803,0.152,2.063,0.353,0.582,9.874,2604.691,0.29,1.094,0.254,31.791,1212.735,0.687,-2.495,5,0,0
5828.167,0.157,1.002,0.353,0.59,9.865,2606.671,0.304,1.739,0.251,31.705,1211.583,0.503,0.976,7,1.146,1.8
5636.265,0.157,1.99,0.353,0.508,10.4,2600.032,0.282,3.555,0.25,32.08,1364.476,0.096,2.186,5,0.526,1.4
5806.36,0.144,2.028,0.348,0.513,10.129,2698.198,0.304,3.582,0.256,31.868,1245.583,0.17,1.801,3,0.673,1.5
5827.788,0.138,1.006,0.353,0.6,9.865,2699.976,0.293,1.757,0.251,32.119,1211.549,0.498,0.629,8,1.328,1.9
5686.283,0.145,1.981,0.353,0.507,11.501,2624.449,0.294,3.488,0.201,32.028,1209.004,0.196,1.429,6,0.857,1.7
5805.777,0.147,2.064,0.348,0.522,9.907,2698.444,0.289,3.635,0.251,31.702,1294.727,0.137,1.742,4,0.699,1.5
5789.753,0.158,1.999,0.353,0.509,10.148,2580.51,0.302,3.556,0.249,34.257,1604.829,0.073,2.765,4,0.407,1.15
