max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5092.406,0.168,2.921,0.232,0.485,10.156,2553.39,0.415,1.153,0.21,35.896,1226.953,0.671,1.852,10,0.068,0.2,2.821
4814.522,0.118,2.582,0.386,0.551,9.165,2362.452,0.249,1.475,0.248,36.431,1222.738,0.579,1.696,11,0.113,0.25,3.418
5376.187,0.159,2.76,0.305,0.52,9.676,2261.96,0.26,1.698,0.242,34.369,1268.154,0.515,5.564,11,0,0,3.934
6236.508,0.168,1.817,0.26,0.451,10.629,2126.626,0.334,2.298,0.205,32.874,1218.683,0.343,4.814,12,0,0,3.655
5860.469,0.184,1.156,0.343,0.335,10.019,2386.807,0.423,3.791,0.285,33.947,1415.869,0.422,2.193,10,0.103,0.25,5.192
5344.423,0.194,2.452,0.225,0.546,8.141,2465.44,0.311,2.988,0.272,34.088,1368.76,0.357,7.194,11,0,0,2.645
4430.233,0.179,2.651,0.231,0.348,8.373,2103.995,0.201,1.355,0.238,32.601,1450.194,0.613,7.608,12,0,0,4.023
5685.163,0.13,2.083,0.38,0.58,9.65,2135.12,0.24,3.009,0.245,32.319,1395.862,0.2,5.926,11,0,0,3.865
6074.231,0.187,1.473,0.345,0.351,10.877,2445.73,0.242,3.299,0.271,33.209,1537.882,0.298,6.198,11,0,0,5.535
5707.479,0.108,2.906,0.215,0.521,11.167,2256.659,0.466,2.033,0.216,33.855,1301.882,0.553,7.329,11,0,0,3.046
6621.907,0.134,2.542,0.217,0.544,9.715,2568.458,0.404,2.178,0.24,35.802,1373.235,0.38,0.676,12,0.229,0.3,3.58
4245.671,0.116,1.552,0.354,0.428,10.615,2243.211,0.277,3.144,0.223,33.432,1343.36,0.268,6.416,10,0,0,4.457
5955.794,0.186,1.239,0.358,0.373,8.056,2601.592,0.268,2.118,0.254,36.349,1492.669,0.395,2.643,9,0.059,0.2,3.43
