max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5808.796,0.15,1.956,0.354,0.515,9.99,2463.435,0.287,3.388,0.246,35.608,1496.742,0.043,1.798,1,0.733,1.5
4717.81,0.148,1.955,0.348,0.501,9.91,2480.966,0.313,3.487,0.246,35.649,1212.559,0.192,1.126,3,1.024,1.75
5806.794,0.153,1.361,0.348,0.501,9.99,2636.923,0.319,3.388,0.246,35.497,1206.389,0.32,1.09,3,1.062,1.7
5808.684,0.153,1.809,0.347,0.492,9.99,2620.661,0.313,3.403,0.246,35.545,1324.531,0.117,1.657,3,0.792,1.5
4840.193,0.154,1.872,0.356,0.512,9.923,2665.928,0.312,3.492,0.257,35.466,1233.021,0.178,1.003,4,1.096,1.75
5808.796,0.15,1.956,0.354,0.515,9.99,2463.435,0.292,3.388,0.246,35.608,1496.742,0.032,1.824,1,0.716,1.5
5291.865,0.147,1.383,0.347,0.501,9.91,2590.981,0.296,3.397,0.246,32.278,1203.624,0.308,0.945,5,1.137,1.8
5699.83,0.154,1.95,0.356,0.511,9.868,2468.085,0.308,3.408,0.246,35.554,1398.247,0.068,1.675,3,0.765,1.55
5822.084,0.148,1.767,0.348,0.491,9.921,2399.049,0.318,3.455,0.257,35.521,1496.813,0.117,1.677,1,0.778,1.55
5806.794,0.153,1.361,0.348,0.491,9.99,2399.873,0.319,3.388,0.257,35.497,1494.771,0.32,1.668,1,0.811,1.55
5217.861,0.148,1.871,0.355,0.511,10.42,2619.844,0.286,3.408,0.246,32.283,1397.083,0.1,1.47,6,0.849,1.6
5305.417,0.154,2.072,0.348,0.491,9.914,2631.348,0.316,3.559,0.243,31.937,1334.494,0.11,1.116,4,1.027,1.7
4863.056,0.148,1.948,0.343,0.513,9.922,2391.243,0.318,3.455,0.257,35.521,1243.368,0.171,1.244,2,0.975,1.7
5806.793,0.146,1.95,0.348,0.491,9.994,2394.658,0.308,3.408,0.246,35.556,1497.21,0.027,2.067,0,0.655,1.4
5291.494,0.149,1.382,0.347,0.501,9.91,2590.981,0.288,3.397,0.255,32.278,1203.674,0.309,0.874,5,1.176,1.8
5806.398,0.152,1.78,0.354,0.516,9.99,2621.321,0.287,3.404,0.255,35.597,1290.968,0.139,1.43,3,0.882,1.6
5283.629,0.146,1.253,0.348,0.419,9.978,2567.074,0.288,3.448,0.255,35.525,1206.419,0.374,0.699,5,1.251,1.8
5319.655,0.148,1.84,0.355,0.51,10.421,2619.844,0.286,3.778,0.246,32.285,1397.083,0.091,1.488,7,0.841,1.6
4873.359,0.148,1.956,0.354,0.513,9.922,2391.243,0.318,3.455,0.257,35.609,1261.034,0.16,1.58,2,0.806,1.65
5309.109,0.149,1.228,0.21,0.52,9.723,2566.991,0.288,3.397,0.255,32.278,1203.674,0.4,0.582,7,1.432,2.15
5492.794,0.147,1.383,0.348,0.417,9.913,2591.016,0.297,3.397,0.255,32.228,1203.624,0.308,0.598,6,1.311,1.9
5305.417,0.154,1.946,0.348,0.511,9.913,2657.738,0.316,3.557,0.243,31.937,1399.277,0.106,1.517,4,0.826,1.6
5820.128,0.154,1.951,0.356,0.511,9.921,2468.085,0.308,3.454,0.246,35.554,1498.732,0.027,1.954,1,0.684,1.45
5218.318,0.147,1.947,0.352,0.515,10.289,2615.957,0.317,3.469,0.275,32.31,1243.441,0.171,1.1,6,1.04,1.7
5319.655,0.149,1.978,0.355,0.51,9.991,2619.844,0.288,3.397,0.246,32.285,1391.57,0.091,1.557,4,0.806,1.55
5806.299,0.152,1.774,0.354,0.482,9.99,2620.635,0.287,3.403,0.246,35.609,1299.189,0.134,1.59,3,0.823,1.55
5312.533,0.159,1.872,0.355,0.453,10.256,2617.201,0.319,3.786,0.275,32.285,1245.749,0.17,1.015,10,1.081,1.8
5315.316,0.149,1.978,0.355,0.514,9.991,2611.452,0.288,3.261,0.246,32.304,1391.57,0.09,1.544,5,0.813,1.6
5378.011,0.149,1.227,0.205,0.424,9.922,2668.653,0.266,3.447,0.259,32.115,1215.884,0.414,0.489,9,1.572,2.3
5806.794,0.153,1.364,0.348,0.515,9.99,2634.232,0.319,3.388,0.246,35.497,1206.034,0.318,1.119,3,1.052,1.75
5314.431,0.145,1.872,0.355,0.511,10.259,2617.064,0.286,3.564,0.246,32.283,1397.083,0.091,1.528,6,0.822,1.6
5527.206,0.156,1.253,0.38,0.37,9.995,2604.248,0.302,1.572,0.206,33.054,1205.901,0.551,0.308,9,1.751,2.2
5782.809,0.15,2.019,0.339,0.49,9.99,2414.359,0.284,3.476,0.252,35.457,1496.683,0.053,2.066,0,0.656,1.4
5782.808,0.15,2.019,0.339,0.49,9.99,2414.359,0.3,3.476,0.251,35.457,1496.564,0.031,2.131,0,0.639,1.4
5781.43,0.149,1.214,0.335,0.52,9.984,2615.497,0.284,3.475,0.257,35.319,1204.819,0.393,0.991,3,1.12,1.75
5676.862,0.149,1.239,0.335,0.39,9.847,2623.625,0.307,3.469,0.257,32.265,1212.779,0.38,0.405,6,1.673,2.3
5681.501,0.153,1.248,0.339,0.399,9.851,2623.173,0.3,3.471,0.225,32.515,1210.462,0.376,0.569,7,1.479,2.2
5783.319,0.15,2.019,0.339,0.506,9.999,2362.646,0.3,3.476,0.252,35.457,1496.683,0.031,1.952,1,0.675,1.5
5438.946,0.149,1.639,0.349,0.422,10.762,2636.957,0.299,3.477,0.249,32.469,1204.358,0.197,0.907,7,1.147,1.85
5812.566,0.149,1.458,0.338,0.521,10.056,2617.41,0.284,3.477,0.252,35.497,1256.763,0.271,1.349,3,0.929,1.7
5781.191,0.149,1.253,0.335,0.521,9.995,2632.711,0.284,3.475,0.252,35.386,1493.337,0.374,1.123,2,1.044,1.7
5782.809,0.15,2.019,0.339,0.516,9.99,2362.65,0.284,3.476,0.252,35.457,1496.683,0.053,1.927,1,0.684,1.5
5825.102,0.145,2.054,0.351,0.516,10.017,2362.65,0.302,3.476,0.252,34.715,1428.799,0.047,1.792,3,0.733,1.5
5825.229,0.145,2.052,0.341,0.513,10.016,2352.23,0.301,3.476,0.258,34.694,1445.438,0.036,1.844,4,0.715,1.5
5829.119,0.15,2.054,0.336,0.472,9.988,2274.23,0.299,3.485,0.257,33.397,1427.369,0.059,1.773,5,0.737,1.55
5429.718,0.147,1.498,0.383,0.359,9.996,2619.033,0.318,2.92,0.257,32.368,1205.581,0.282,0.692,8,1.269,1.85
5449.305,0.145,2.028,0.336,0.472,9.986,2617.501,0.287,3.662,0.253,32.351,1447.845,0.089,1.536,6,0.818,1.65
5788,0.15,2.019,0.339,0.516,10.056,2362.65,0.284,3.476,0.252,35.457,1428.799,0.053,1.864,2,0.704,1.55
5820.252,0.147,1.217,0.335,0.401,9.851,2615.497,0.287,3.476,0.257,35.314,1204.819,0.391,0.835,4,1.195,1.8
6026.917,0.147,1.217,0.335,0.401,9.851,2615.497,0.287,3.476,0.257,35.314,1204.819,0.391,0.581,5,1.324,1.85
5418.824,0.15,1.749,0.34,0.423,10.783,2627.828,0.299,3.465,0.259,32.51,1250.555,0.166,1.285,8,0.938,1.75
5449.305,0.15,2.028,0.334,0.472,10.533,2617.501,0.285,3.597,0.253,32.351,1428.578,0.089,1.489,7,0.835,1.65
6026.917,0.147,1.283,0.335,0.401,9.851,2615.497,0.287,3.463,0.257,35.314,1204.819,0.359,0.633,5,1.287,1.85
5812.566,0.149,1.38,0.338,0.521,10.056,2617.41,0.284,3.477,0.252,35.497,1256.763,0.31,1.264,3,0.978,1.7
5799.652,0.15,2.019,0.339,0.518,10.056,2615.954,0.285,3.476,0.251,35.456,1301.397,0.132,1.81,2,0.727,1.5
5814.846,0.149,1.332,0.335,0.401,9.851,2634.551,0.306,3.469,0.257,35.293,1212.779,0.334,1.049,4,1.084,1.75
5781.191,0.148,1.298,0.338,0.521,9.988,2632.711,0.284,3.475,0.252,35.455,1491.23,0.351,1.205,2,0.994,1.7
5820.01,0.156,2.033,0.335,0.472,9.989,2626.382,0.3,3.154,0.257,33.355,1495.627,0.099,1.707,4,0.748,1.55
5825.279,0.149,1.348,0.335,0.521,10.056,2632.711,0.284,3.476,0.252,35.501,1438.407,0.326,1.167,3,1.022,1.65
5460.568,0.155,2.045,0.335,0.522,9.987,2554.538,0.29,3.458,0.252,35.458,1432.607,0.063,1.734,3,0.758,1.5
5418.182,0.149,1.639,0.348,0.422,10.762,2627.423,0.299,3.477,0.249,32.469,1249.786,0.18,0.942,7,1.129,1.8
5794.658,0.15,1.771,0.339,0.522,9.989,2627.719,0.298,3.476,0.252,35.399,1262.712,0.158,1.605,3,0.81,1.55
5805.266,0.15,2.028,0.339,0.47,10.056,2626.686,0.301,3.478,0.252,35.456,1300.037,0.133,1.693,3,0.77,1.55
5817.774,0.149,1.402,0.335,0.39,10.08,2636.749,0.299,2.99,0.257,32.514,1205.792,0.299,0.755,6,1.24,1.9
5429.718,0.147,1.498,0.383,0.359,9.996,2624.375,0.318,3.415,0.254,32.368,1205.581,0.282,0.795,7,1.202,1.85
5782.809,0.15,2.007,0.336,0.472,10.113,2602.589,0.284,3.476,0.252,35.457,1496.683,0.083,1.849,2,0.713,1.5
5783.446,0.149,1.22,0.335,0.391,9.851,2613.296,0.284,3.476,0.257,35.314,1204.819,0.39,0.862,4,1.184,1.75
5912.667,0.149,1.417,0.335,0.39,9.883,2636.755,0.299,2.99,0.257,32.514,1205.592,0.291,0.724,7,1.243,1.85
5431.779,0.15,1.751,0.342,0.423,9.904,2627.469,0.315,3.412,0.252,32.415,1249.27,0.167,1.011,6,1.09,1.8
5454.515,0.145,2.028,0.335,0.47,9.995,2617.501,0.287,3.6,0.253,32.426,1287.396,0.142,1.467,5,0.848,1.7
5449.305,0.145,2.028,0.335,0.472,9.995,2617.501,0.287,3.6,0.253,32.351,1436.556,0.089,1.561,5,0.803,1.65
5823.624,0.156,1.635,0.343,0.519,9.878,2637.151,0.299,3.46,0.252,35.457,1209.602,0.194,1.394,3,0.907,1.6
5246.466,0.149,1.77,0.339,0.522,9.989,2636.785,0.3,3.474,0.252,32.497,1278.47,0.148,1.307,5,0.929,1.65
5823.624,0.156,1.635,0.335,0.517,9.878,2637.296,0.304,3.462,0.252,35.457,1212.765,0.191,1.441,3,0.885,1.6
5449.505,0.144,1.639,0.348,0.519,9.881,2637.223,0.299,3.463,0.251,32.348,1215.038,0.19,1.139,5,1.026,1.75
5431.105,0.156,2.033,0.326,0.469,9.989,2626.382,0.3,3.154,0.257,32.498,1495.627,0.099,1.492,6,0.834,1.6
5794.351,0.15,1.216,0.335,0.522,9.989,2627.719,0.298,3.476,0.252,35.399,1262.826,0.392,1.085,3,1.066,1.75
5784.228,0.15,1.449,0.338,0.49,9.99,2617.929,0.298,3.424,0.252,35.499,1496.683,0.275,1.367,2,0.914,1.65
5825.279,0.149,2.04,0.341,0.513,9.997,2632.711,0.284,3.476,0.252,35.497,1256.763,0.162,1.6,2,0.796,1.6
5825.539,0.156,1.405,0.344,0.413,10.085,2636.607,0.299,2.984,0.201,35.649,1205.792,0.297,0.923,6,1.15,1.8
5431.778,0.156,1.297,0.338,0.414,9.995,2632.768,0.299,3.412,0.252,35.606,1258.703,0.352,0.699,5,1.253,1.85
4340.505,0.164,1.3,0.342,0.427,10.617,2681.235,0.416,2.341,0.207,32.011,1283.926,0.387,0.387,11,1.699,2.25
5795.218,0.149,1,0.341,0.505,9.291,2697.728,0.315,1.208,0.249,34.9,1202.041,0.655,-3.393,6,0,0
5802.269,0.155,2.049,0.359,0.503,10.036,2671.14,0.305,3.513,0.254,35.384,1383.185,0.111,1.808,2,0.72,1.5
5832.726,0.149,2.036,0.336,0.504,9.405,2530.3,0.311,3.575,0.25,35.262,1594.26,0.063,2.134,5,0.611,1.4
5847.661,0.149,2.035,0.342,0.505,9.983,2531.807,0.315,3.609,0.25,35.262,1594.26,0.063,2.146,4,0.602,1.4
5816.657,0.149,1.001,0.341,0.505,10.018,2630.016,0.287,1.043,0.252,35.307,1202.06,0.702,-3.019,4,0,0
5770.281,0.149,1.001,0.344,0.505,9.246,2559.74,0.312,1.624,0.249,32.948,1214.673,0.536,-1.612,7,0,0
5770.281,0.149,1.196,0.344,0.505,10.136,2661.516,0.312,3.482,0.249,32.948,1214.673,0.402,0.815,5,1.229,1.9
4340.33,0.163,1.424,0.341,0.402,10.268,2673.97,0.287,2.342,0.249,33.083,1213.216,0.331,0.552,9,1.314,1.9
5408.385,0.138,1.801,0.335,0.505,9.818,2696.725,0.277,3.595,0.247,35.36,1305.266,0.13,1.366,6,0.918,1.7
5327.735,0.164,1.243,0.336,0.416,10.128,2672.025,0.28,2.376,0.248,32.954,1201.959,0.378,0.416,8,1.636,2.25
5795.264,0.149,2.072,0.34,0.505,9.935,2632.16,0.311,3.575,0.25,35.319,1608.519,0.095,2.054,2,0.641,1.4
5791.6,0.149,1.138,0.344,0.505,9.291,2692.994,0.287,1.071,0.25,35.472,1213.124,0.694,-3.348,5,0,0
5284.073,0.15,1.711,0.344,0.472,10.549,2680.773,0.278,3.503,0.253,32.718,1284.643,0.144,1.159,7,1.015,1.75
4463.828,0.154,1.711,0.33,0.397,10.552,2681.192,0.288,2.889,0.252,32.482,1284.721,0.23,0.851,9,1.174,1.8
5790.913,0.149,1.049,0.344,0.504,9.737,2632.432,0.271,1.325,0.25,33.022,1202.515,0.621,-2.704,7,0,0
