max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
4221.34,0.108,2.049,0.394,0.375,9.606,2684.509,0.254,3.705,0.23,36.921,1251.263,0.28,1.308,11,0.928,1.65
5675.456,0.118,1.361,0.25,0.491,8.467,2616.582,0.465,1.064,0.264,31.902,1368.773,0.696,0.204,11,1.873,2.3
4598.343,0.167,1.113,0.239,0.546,11.699,2346.787,0.205,1.048,0.247,35.41,1493.398,0.701,0.876,9,1.189,1.7
5404.282,0.149,1.774,0.343,0.481,9.089,2683.426,0.332,3.434,0.27,36.971,1381.576,0.116,1.711,8,0.769,1.5
5638.531,0.17,1.731,0.366,0.433,11.378,2247.941,0.301,3.727,0.273,34.914,1244.717,0.17,1.766,11,0.761,1.55
4215.808,0.155,1.682,0.225,0.361,10.599,2591.73,0.354,3.894,0.252,32.281,1227.155,0.357,1.11,10,1.035,1.75
5887.538,0.149,2.176,0.309,0.501,9.691,2668.59,0.264,3.409,0.23,36.895,1623.941,0.12,2.195,9,0.591,1.35
5797.649,0.151,1.742,0.304,0.419,9.861,2441.428,0.289,1.004,0.244,35.233,1275.76,0.713,1.334,7,0.94,1.65
4630.852,0.125,1.057,0.347,0.496,9.322,2190.997,0.315,1.199,0.238,32.075,1415.433,0.657,0.937,9,1.141,1.7
4317.766,0.113,2.312,0.365,0.456,11.271,2640.818,0.214,2.529,0.286,32.654,1239.753,0.287,1.007,11,1.08,1.75
6438.194,0.109,1.017,0.377,0.423,10.052,2524.408,0.402,1.31,0.247,31.997,1298.345,0.626,0.625,10,1.334,1.85
5032.77,0.1,1.254,0.239,0.553,9.424,2137.48,0.482,1.158,0.219,35.461,1289.987,0.669,-0.8,11,0,0
4638.792,0.137,1.917,0.354,0.562,10.597,2595.187,0.317,3.431,0.284,32.469,1418.984,0.2,1.579,9,0.8,1.6
6390.823,0.176,1.366,0.325,0.337,8.053,2625.955,0.348,2.024,0.237,32.374,1431.001,0.422,0.973,12,1.106,1.75
6811.044,0.147,1.433,0.352,0.489,11.457,2648.163,0.289,3.543,0.207,35.122,1627.782,0.283,1.721,7,0.769,1.5
5499.627,0.143,1.019,0.25,0.503,9.191,2519.746,0.391,1.464,0.296,32.612,1397.52,0.582,0.88,10,1.197,1.75
5060.587,0.134,1.294,0.374,0.477,9.966,2661.927,0.308,1.026,0.222,36.287,1444.909,0.707,-2.153,9,0,0
6424.798,0.147,1.6,0.307,0.542,11.972,2513.992,0.304,3.562,0.246,35.006,1333.673,0.2,1.647,8,0.801,1.6
6083.978,0.126,1.713,0.344,0.451,10.055,2541.079,0.355,3.133,0.259,34.13,1369.896,0.183,1.714,10,0.76,1.55
4453.325,0.117,1.153,0.38,0.479,8.731,2334.131,0.433,1.433,0.296,32.865,1368.453,0.591,0.684,11,1.277,1.85
5087.795,0.182,1.69,0.231,0.497,10.122,2661.099,0.258,1.962,0.288,35.187,1223.493,0.439,1.072,10,1.077,1.8
4838.639,0.163,1.689,0.312,0.462,8.598,2529.968,0.335,3.742,0.264,34.354,1462.694,0.166,1.775,12,0.728,1.55
4882.395,0.153,2.032,0.37,0.362,9.525,2587.977,0.296,3.459,0.243,33.588,1478.058,0.276,1.755,7,0.728,1.55
5836.567,0.122,1.073,0.205,0.415,10.274,2531.092,0.251,1.78,0.203,31.987,1222.884,0.491,0.855,12,1.207,1.8
4453.76,0.156,1.535,0.36,0.426,9.977,2597.538,0.318,2.636,0.216,31.835,1360.554,0.247,1.228,8,0.97,1.7
5841.741,0.178,1.044,0.333,0.386,9.875,2691.871,0.43,1.323,0.247,32.018,1480.218,0.622,0.841,10,1.194,1.75
5603.805,0.153,2.06,0.365,0.52,10.932,2103.397,0.291,3.692,0.284,32.135,1343.675,0.136,2.189,7,0.547,1.5
5014.44,0.159,2.297,0.338,0.402,9.204,2621.838,0.315,2.93,0.212,33.197,1261.735,0.196,1.404,10,0.872,1.65
5823.96,0.145,2.747,0.347,0.483,9.948,2247.034,0.316,1.561,0.241,33.191,1562.866,0.554,2.673,6,0.426,1.25
6827.846,0.172,1.734,0.344,0.496,11.001,2591.735,0.326,2.967,0.213,36.071,1372.125,0.177,1.728,10,0.762,1.5
6797.26,0.183,1.008,0.281,0.308,8.007,2451.982,0.357,1.763,0.212,33.328,1205.356,0.496,0.763,12,1.228,1.8
5351.202,0.102,1.031,0.202,0.567,10.832,2389.201,0.367,1.462,0.283,34.141,1235.316,0.582,-2.238,12,0,0
6377.116,0.155,2.002,0.288,0.527,10.588,2400.898,0.253,2.923,0.208,33.771,1221.765,0.185,1.664,9,0.768,1.6
5746.403,0.163,2.049,0.349,0.525,8.199,2411.482,0.275,3.461,0.246,36.854,1247.241,0.18,1.902,7,0.696,1.5
5944.081,0.12,1.315,0.226,0.488,10.88,2548.418,0.297,3.289,0.248,32.651,1322.159,0.354,1.189,9,1.004,1.75
5052.659,0.17,2.246,0.315,0.493,9.311,2358.887,0.318,3.551,0.267,35.277,1272.037,0.152,1.856,9,0.704,1.5
4386.306,0.165,1.42,0.326,0.392,8.921,2479.476,0.307,3.179,0.243,36.629,1251.063,0.29,0.974,10,1.122,1.75
4990.429,0.187,1.229,0.267,0.52,9.352,2531.101,0.276,1.033,0.265,34.576,1388.857,0.705,0.085,11,1.935,2.25
6140.107,0.147,1.606,0.373,0.489,8.711,2479.556,0.323,3.69,0.285,34.381,1491.786,0.197,1.858,8,0.714,1.45
4607.868,0.152,1.047,0.35,0.492,8.539,2405.448,0.345,1.498,0.267,32.604,1524.561,0.572,1.28,8,0.958,1.55
5072.828,0.114,1.275,0.265,0.504,10.981,2190.909,0.357,3.566,0.25,34.172,1290.511,0.363,1.438,9,0.907,1.65
5450.764,0.146,2.669,0.354,0.501,8.329,2097.242,0.248,3.498,0.263,35.625,1500.653,0.335,2.498,6,0.484,1.3
5143.251,0.178,1.686,0.321,0.502,8.174,2351.151,0.28,2.993,0.233,33.968,1507.909,0.187,2.318,9,0.55,1.4
5883.251,0.143,2.377,0.338,0.466,10.937,2413.547,0.274,3.632,0.248,34.333,1500.113,0.188,2.45,7,0.487,1.3
5127.963,0.19,1.901,0.362,0.477,11.331,2548.822,0.233,3.573,0.253,35.236,1341.893,0.267,1.616,8,0.793,1.6
4625.655,0.135,1.014,0.222,0.517,11.247,2263.879,0.454,1.739,0.225,31.865,1243.391,0.513,0.554,11,1.373,1.85
5163.129,0.117,2.436,0.351,0.49,9.455,2398.96,0.298,3.585,0.269,32.012,1232.895,0.22,2.021,7,0.597,1.45
4662.051,0.174,2.19,0.397,0.513,11.835,2522.429,0.329,3.469,0.231,35.678,1243.297,0.196,1.583,9,0.805,1.6
6519.875,0.142,2.117,0.358,0.552,9.174,2681.083,0.329,3.504,0.278,36.777,1365.908,0.124,1.971,10,0.662,1.45
4398.807,0.153,1.476,0.269,0.448,8.344,2698.045,0.219,1.014,0.228,33.503,1342.524,0.71,-1.211,11,0,0
5202.686,0.106,1.012,0.365,0.52,9.225,2124.083,0.484,1.098,0.248,36.446,1530.054,0.686,0.697,9,1.268,1.7
4743.58,0.154,1.86,0.299,0.403,8.551,2566.836,0.269,3.578,0.21,32.454,1203.175,0.198,1.091,10,1.035,1.75
5128.982,0.135,2.309,0.351,0.434,8.883,2573.04,0.247,3.229,0.247,32.703,1305.581,0.177,1.779,10,0.703,1.55
5596.752,0.105,1.024,0.367,0.429,8.317,2653.1,0.487,1.137,0.247,34.507,1475.443,0.675,0.258,11,1.632,1.95
5014.972,0.136,1.991,0.316,0.489,10.527,2205.777,0.286,3.398,0.235,33.461,1533.948,0.135,2.376,8,0.496,1.4
4848.928,0.139,2.341,0.361,0.475,11.886,2577.355,0.349,2.89,0.253,36.267,1345.757,0.189,1.61,10,0.79,1.6
4807.639,0.147,2.077,0.378,0.443,8.625,2567.682,0.331,2.85,0.225,33.515,1364.389,0.186,1.754,10,0.724,1.55
4826.974,0.137,2.018,0.313,0.559,8.554,2504.859,0.249,3.359,0.281,34.794,1354.74,0.17,1.787,11,0.715,1.55
5542.223,0.149,1.089,0.237,0.429,8.571,2399.93,0.241,1.769,0.246,32.371,1205.649,0.495,0.747,9,1.253,1.85
5093.261,0.155,1.948,0.364,0.441,8.683,2532.558,0.322,1.336,0.205,35.397,1625.047,0.618,1.994,7,0.653,1.4
4842.747,0.175,1.188,0.361,0.412,9.828,2686.195,0.377,1.153,0.294,34.839,1366.05,0.671,0.374,11,1.722,2.2
4673.95,0.138,1.987,0.343,0.463,11.389,2399.366,0.34,3.138,0.248,31.991,1338.311,0.194,1.915,8,0.651,1.55
5504.407,0.113,1.308,0.343,0.41,10.611,2687.995,0.277,1.965,0.22,31.906,1218.546,0.439,0.815,10,1.22,1.85
5260.623,0.153,1.034,0.274,0.443,9.095,2047.441,0.262,1.084,0.253,32.565,1269.94,0.69,0.351,10,1.505,1.85
5394.164,0.198,1.22,0.287,0.335,10.121,2572.187,0.218,1.527,0.264,33.037,1302.156,0.564,0.637,11,1.31,1.9
4963.728,0.148,2.012,0.203,0.381,9.971,2455.684,0.317,3.469,0.223,31.795,1449.855,0.42,1.904,7,0.664,1.55
6563.524,0.142,1.856,0.391,0.491,10.043,2682.066,0.315,2.964,0.297,33.003,1421.712,0.188,1.879,9,0.679,1.45
5006.206,0.131,2.213,0.338,0.532,8.293,2582.487,0.333,3.765,0.263,35.626,1302.659,0.171,1.578,10,0.809,1.65
4866.015,0.139,1.13,0.238,0.46,11.647,2690.766,0.489,1.034,0.228,34.565,1262.863,0.705,-2.671,12,0,0
5298.454,0.161,1.045,0.212,0.435,10.179,2496.949,0.498,1.049,0.289,33.312,1280.635,0.7,-1.115,12,0,0
4445.624,0.196,1.085,0.353,0.546,10.22,2253.813,0.294,1.387,0.224,33.337,1267.649,0.604,0.645,10,1.377,2.05
4400.989,0.155,1.809,0.381,0.451,11.781,2392.081,0.336,2.806,0.267,36.773,1313.225,0.241,1.296,10,0.946,1.7
5588.793,0.102,1.16,0.213,0.552,8.541,2677.694,0.32,1.358,0.235,33.052,1440.947,0.612,0.246,11,1.883,2.25
5057.197,0.133,2.076,0.363,0.398,8.011,2562.029,0.313,3.1,0.251,33.124,1297.93,0.204,1.705,8,0.743,1.6
5855.226,0.167,2.085,0.365,0.491,10.258,2269.635,0.321,3.39,0.221,35.839,1584.056,0.116,2.427,8,0.528,1.35
4621.242,0.144,1.799,0.29,0.384,11.707,2610.608,0.268,2.942,0.279,34.025,1485.872,0.232,1.514,11,0.832,1.65
6359.42,0.165,2.046,0.366,0.481,10.765,2633.865,0.325,3.145,0.227,35.484,1525.577,0.101,2.057,9,0.631,1.4
4843.883,0.199,1.055,0.376,0.349,9.882,2566.612,0.375,1.226,0.255,32.478,1263.395,0.65,0.13,10,2.039,2.45
4293.039,0.16,1.591,0.317,0.371,11.182,2655.981,0.374,3.462,0.245,35.357,1293.023,0.26,0.88,9,1.162,1.8
4766.619,0.119,1.143,0.329,0.542,11.282,2199.698,0.364,1.429,0.297,34.898,1290.817,0.592,0.526,12,1.533,2.1
4431.523,0.151,1.01,0.237,0.504,8.242,2075.002,0.283,1.304,0.276,35.428,1205.465,0.627,0.339,8,1.813,2.3
6663.301,0.157,1.909,0.347,0.482,10.029,2587.856,0.319,3.569,0.258,35.668,1500.9,0.149,1.954,4,0.672,1.4
5212.95,0.114,1.604,0.346,0.334,11.496,2586.294,0.304,1.735,0.23,35.526,1499.472,0.504,1.316,8,0.94,1.7
6608.26,0.116,1.977,0.342,0.331,9.937,2694.189,0.289,1.954,0.257,33.044,1302.269,0.442,1.672,7,0.759,1.55
6043.414,0.137,2.149,0.342,0.459,10.664,2282.045,0.272,3.78,0.256,36.683,1520.425,0.093,2.561,10,0.496,1.3
4733.817,0.147,2.049,0.254,0.524,8.829,2415.689,0.407,2.72,0.245,35.337,1368.524,0.357,1.93,7,0.683,1.5
